PHRASE,FULL_TEXT
complimentary breakfast,do you offer a free breakfast
breakfast,is breakfast included
pet policy,Do you have dog friendly rooms If so is there a charge Is it per dog?
pet policy,"what is the pet policy, I have 2 small dogs"
check-in,"Thank you for this text. We cannot check in until 6 or after. Will that be ok? 
"
restaurant,Does the restaurant do delivery?
check-in,Can I use a debit card at check in Or does it have to be a credit card?
check-in,Can I check in earlier today
laundry,Is there a laundry room?
tv remote,I have an issue with the remote control to the tv
laundry,"Is there onsite laundry 
"
reservations,I'd like to reserve room for another night
checkout time,What is my checkout time tomorrow? I only booked the room for one night.
spa,do u have a spa
spa,can I get spa appointment at 10 am?
spa,what is the spa menu
spa,I would like to book a spa
spa,what is the procedure to book spa?
spa,How to book an spa appointment?
spa,I would like to make a spa reservation
reservations,I would like to make a spa reservation
spa,Spa reservation
reservations,Spa reservation
spa,Spa menu
discount,How can I get a discount when booking a hotel?
discount,Can we get a discount on our next booking?
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
program,how can i join membership program
rewards program,how can i join membership program
program,how do i enroll in hotel's reward program
checkout time,What is the checkout time?
program,What kind of events are available
room service,is there any room service facility available?
breakfast,what do you serve for the breakfast?
breakfast,Can I order breakfast at 9.00 am?
early checkin,Do you have early checkin?
early checkin,What are the charges for early checkin?
late checkout,Can I do late checkout?
late checkout,What are the charges for late checkout?
check out,What is the procedure for checkout?
near by,Nearby Starbucks
coffee shop,Nearby Starbucks
coffee,Nearby Coffee Shops
near by,Nearby Coffee Shops
near by,Nearby Peets
near by,What are the outdoor adventure nearby?
tour packages,Nearby Tours?
near by,Nearby Tours?
attractions,What are the nearby attractions i can visit?
near by,What are the nearby attractions i can visit?
near by,What are nearby Activities?
bar,Do you have bars near here?
shopping,Nearby Shopping Malls?
near by,Nearby Shopping Malls?
restaurant,What are the nearby Restaurants?
near by,Do you have a grocery store near by?
wifi,Internet Information
wifi,What is wifi name and password?
wifi,What is wifi name and password?
wifi,Wifi Information
pet policy,What is your pet policy for dogs?
pet policy,What is your pet policy for cats?
program,Can I get a list of events for this week
pet policy,What is your pet policy for other pets?
pet policy,What is your pet policy?
accessible parking,Do you provide accessible parking?
express checkin,Do you have Express Checkin?
early checkin,Can I do an Early Checkin?
check out,Do you have Express Checkout?
program,Ame there any events nearby
near by,Ame there any events nearby
check out,What is your Checkout Policy?
check out,What is the Your Checkout Procedure?
late checkout,Can I do Late Checkout
program,Events for today
cancellation policy,What are your Cancelation Fees?
cancellation policy,What are your Cancelation Fees due to COVID?
cancellation policy,What is your Cancelation Policy?
program,What kind of events are available
reservations,How are current reservation handled due to covid?
program,Can I get a list of events for this week
pool,What are the open and close time for the pool?
hours of operation,What are the open and close time for the pool?
hours of operation,What are the open and close time for the pool?
hours of operation,What are the open and close time for the pool?
pool,Do you have Indoor Pool?
spa,Do you have a SPA?
pool,Do you have a pool?
spa,What are the open and close time for the SPA?
hours of operation,What are the open and close time for the SPA?
hours of operation,What are the open and close time for the SPA?
hours of operation,What are the open and close time for the SPA?
sauna,What are the open and close time for the Sauna?
hours of operation,What are the open and close time for the Sauna?
hours of operation,What are the open and close time for the Sauna?
hours of operation,What are the open and close time for the Sauna?
parking,What are your parking fees?
valet parking,Do you have valet parking?
near by,Places to see nearby
parking,Do you provide parking?
medical,Medical Emergency Information
emergency,Medical Emergency Information
near by,Are there hospitals Nearby?
emergency,Genral Emergency Information
program,NOW- What kind of events are available.
medical,Medical Emergency Information
emergency,Medical Emergency Information
gift shop,Do you a gift shop?
pool,Do you have a pool?
business center,What are the open and close time for the business center?
hours of operation,What are the open and close time for the business center?
hours of operation,What are the open and close time for the business center?
hours of operation,What are the open and close time for the business center?
gym,What are the open and close time for Gym?
hours of operation,What are the open and close time for Gym?
hours of operation,What are the open and close time for Gym?
hours of operation,What are the open and close time for Gym?
breakfast,When is the breakfast available?
dry cleaning,Do you have dry cleaning service?
laundry,Do you have self service laundry?
spa,Do you have SPA discounts?
spa,What are the open and close time for the SPA?
hours of operation,What are the open and close time for the SPA?
hours of operation,What are the open and close time for the SPA?
hours of operation,What are the open and close time for the SPA?
smoking,Do you have non smoking rooms?
smoking,What is your smoking policy inside the property?
program,NOW- What kind of events are available.
medical,Do you have medical shops or pharmacy shops?
shuttle service,Do you have shuttle Services?
event room,Do you have event room or a event hall?
business center,Do you have a business center?
pool,Do you have heated pool?
sauna,Do you have Sauna?
pool,What are the timings of heated pool?
pool,What temperature the pool is maintained at?
coffee,Do you provide morning coffee?
coffee,Nearby Coffee Shops
near by,Nearby Coffee Shops
coffee,Do you have coffee maker?
tea maker,Do you have tea maker?
near by,Is there a beauty salon nearby?
rollaway bed,Do you have rollaway bed?
crib,Do you have a crib?
dress code,Do you have a dress shop?
alarm clock,Do you have an alarm clock?
discount,Do you have breakfast discount?
breakfast,Do you have breakfast discount?
charger,Do you have computer chargers?
phone,Do you have phone charges?
near by,nearby attraction
refrigerator,Do you have in room refrigerator?
near by,nearby attraction
laundry,Do you have self service laundry?
spa,do u have a spa
dry cleaning,Do you have dry cleaning service?
spa,can I get spa appointment at 10 am?
spa,what is the spa menu
spa,I would like to book a spa
spa,what is the procedure to book spa?
spa,How to book an spa appointment?
spa,I would like to make a spa reservation
reservations,I would like to make a spa reservation
luggage storage,Do you have luggage storage facility?
spa,Spa reservation
reservations,Spa reservation
spa,Spa menu
discount,How can I get a discount when booking a hotel?
discount,Can we get a discount on our next booking?
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
program,how can i join membership program
rewards program,how can i join membership program
program,how do i enroll in hotel's reward program
breakfast,what do you serve for the breakfast?
breakfast,Can I order breakfast at 9.00 am?
tour packages,Do you offer any tour packages ?
program,what all outdoor events do you offer?
restaurant,What are the nearby Restaurants?
room service,do you have room service?
attractions,What are popular attractions
attractions,Where can i find popular activities and attractions nearby
near by,Where can i find popular activities and attractions nearby
near by,nearby attraction
air conditioning,The air conditioning / heating does not work
hair dryer,The hair dryer does not work
coffee,The coffee maker does not work
safety deposit box,The safe does not work
housekeeping,Do you need room cleaning?
extend stay,Do you have discount for extended stays?
discount,Do you have discount for extended stays?
housekeeping,i need room cleaning
housekeeping,How to request room cleaning?
crib,Crib Availability and Message
crib,Is there a crib available?
crib,i need a crib
housekeeping,Why didn't Housekeeping clean my room?
wifi,I have WiFi Issues?
near by,Nearby Hospitals?
wifi,Wifi Information
channel lineup,What are the television channels available?
order food,Food Breakfast Menu URL
breakfast,What all breakfast choices available?
wifi,What is wifi name and password?
wifi,What is wifi name and password?
breakfast,Is there any options available for breakfast?
order food,what is the breakfast menu?
order food,Can you please share your breakfast menu?
attractions,Attractions
wifi,Do you have problem connection to wifi?
order food,Can you share the dinner menu?
order food,I need dinner menu?
order food,Is there any food lunch menu available?
order food,what all food lunch menu available?
order food,Can you please share the lunch menu?
beer,Beer Menu URL
gym,What are the open and close time for Gym?
hours of operation,What are the open and close time for Gym?
hours of operation,What are the open and close time for Gym?
hours of operation,What are the open and close time for Gym?
program,NOW- What kind of events are available.
attractions,Attractions
near by,Places to see nearby
near by,What can I see or do nearby
program,NOW- What kind of events are available.
hours of operation,event timing
hours of operation,event timing
attractions,Attractions
hours of operation,event timing
near by,basicList.push(obj);nearby attraction
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
check-in,¿Tiene check in temprano?
check-in,¿Cuáles son los cargos por el check in anticipado?
check out,¿Puedo hacer el check out tardío?
attractions,nearby attractions
near by,nearby attractions
coffee shop,Cerca de Starbucks
tour packages,Tours cercanos?
attractions,nearby attractions
near by,nearby attractions
wifi,Información de Internet
wifi,¿Qué es el nombre y la contraseña de wifi?
wifi,Información Wifi
attractions,nearby attractions
near by,nearby attractions
express checkin,¿Tiene Express Check In?
check-in,¿Puedo hacer un check-in anticipado?
spa,¿Tienes un SPA?
spa,¿Cuáles son los horarios de apertura y cierre del SPA?
sauna,¿Cuáles son los horarios de apertura y cierre de la sauna?
valet parking,¿Tiene valet parking?
spa,¿Tienen descuentos en el SPA?
sauna,¿Tienes Sauna?
attractions,nearby attractions
near by,nearby attractions
wifi,¿Tienes problemas de conexión a wifi?
coffee shop,Cerca de Starbucks
check out,What is the Your Checkout Procedure?
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
room service,is there any room service facility available?
room service,is there any room service facility available
wifi,¿Nombre de la red WiFi?
wifi,¿Cuál es la contraseña de WiFi?
wifi,No puedo conectarme al wifi
checkin time,checkin time
wifi,Tengo problemas con el WiFi
corona,COVID-19 Information
cancellation policy,What are your Cancelation Fees due to COVID?
cancellation policy,What is your Cancelation Policy?
cancellation policy,What are your Cancelation Fees due to COVID?
cancellation policy,What is your Cancelation Policy?
cancellation policy,What are your Cancelation Fees?
cancellation policy,What are your Cancelation Fees?
express checkin,¿Tiene Express Check In?
program,what all outdoor events do you offer?
program,Can I get a list of events for this week
program,Can I get a list of events for this week
program,Can I get a list of events for this week
program,what all outdoor events do you offer?
program,what all outdoor events do you offer?
program,what all outdoor events do you offer?
breakfast,Do u provide breakfast
wifi,Wifi info
program,Can I get a list of events for this week
coffee,Is there free coffee
program,Can I get a list of events for this week
wifi,Wifi password Pls
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
hours of operation,venue timing
hours of operation,venue timing
amenities,What are free amenities included in my stay?
amenities,Do I need to pay extra for the amenities?
amenities,What are free amenities included in my stay?
amenities,What are free amenities included in my stay?
spa,tienes un spa
spa,�Puedo obtener una cita en el spa a las 10 am?
spa,cual es el menu del spa
spa,Me gustaria reservar un spa
spa,�Cu�l es el procedimiento para reservar un spa?
spa,�C�mo reservar una cita en el spa?
spa,Me gustar�a hacer una reserva de spa.
spa,Reserva de spa
spa,Men� Spa
rewards program,Membership discount
discount,Membership discount
breakfast,what do you serve for the breakfast?
attractions,Where can i find popular activities and attractions nearby
near by,Where can i find popular activities and attractions nearby
wifi,Tengo problemas con el  WiFi
check-in,¿Puedo hacer el check-in temprano?
check-in,checkin exprés
wifi,¿Cuál es la contraseña de WiFi?
wifi,WIFI
wifi,cómo iniciar sesión en WIFI
wifi,Código de acceso WIFI
wifi,Wi-Fi gratis
wifi,Cómo conectarse a su wifi
fax,máquina de fax
fax,servicios de fax
fax,¿Cuánto cuesta el fax?
fax,cargos de fax
jaccuzi,Temperatura del jacuzzi
jaccuzi,tienes jacuzzi
valet parking,tienes valet parking?
spa,tienes un spa
spa,horarios de spa
coffee shop,Starbucks cercano
coffee shop,hay Starbucks
wifi,Cómo conectarse a su wifi
wifi,¿Cuál es la contraseña de WiFi?
wifi,Wifi
wifi,contraseña wifi?
wifi,¿Cómo me conecto a wifi?
wifi,inicio de sesión wifi
cable,Televisión por cable
cable,Televisión por cable por favor. Gracias
cable,Cable
wifi,¿Qué es el WIFI?
wifi,¿Cuál es la contraseña de WiFi?
wifi,¿Cuál es tu contraseña de WiFi?
wifi,#Detalles de WiFi.
wifi,Detalles wifi
check-in,Check in tardío disponible
wifi,Conexión wifi
spa,¿Estará abierto el gimnasio o el spa?
spa,¿Cuáles son los horarios del spa?
bar,¿Cuáles son los horarios del bar?
check-in,¿Check-in exprés?
check-in,¿Check in exprés?
wifi,¿Cuál es el inicio de sesión y la contraseña de WiFi?
wifi,¿Cuál es la contraseña de WiFi por favor?
wifi,Codigo wifi por favor
wifi,¿Hay una contraseña para el wifi?
wifi,Nombre de la red WiFi?
wifi,No puedo conectarme al wifi
wifi,¿Tengo problemas de WiFi?
check-in,¿Puedo usar una tarjeta de débito al momento del check in o tiene que ser una tarjeta de crédito?
rewards program,Membership discount
discount,Membership discount
spa,cual es el menu del spa
spa,Me gustaria reservar un spa
spa,�Cu�l es el procedimiento para reservar un spa?
spa,�C�mo reservar una cita en el spa?
spa,Me gustar�a hacer una reserva de spa.
spa,Reserva de spa
spa,Men� Spa
spa,tienes un spa
spa,�Puedo obtener una cita en el spa a las 10 am?
breakfast,what do you serve for the breakfast?
corona,COVID-19 Information
hours of operation,venue timing
check-in,¿Puedo hacer el check-in temprano?
check-in,checkin exprés
wifi,¿Cuál es la contraseña de WiFi?
wifi,WIFI
wifi,cómo iniciar sesión en WIFI
wifi,Código de acceso WIFI
wifi,Wi-Fi gratis
wifi,Cómo conectarse a su wifi
fax,máquina de fax
fax,servicios de fax
fax,¿Cuánto cuesta el fax?
fax,cargos de fax
jaccuzi,Temperatura del jacuzzi
jaccuzi,tienes jacuzzi
valet parking,tienes valet parking?
spa,tienes un spa
spa,horarios de spa
coffee shop,Starbucks cercano
coffee shop,hay Starbucks
wifi,Cómo conectarse a su wifi
wifi,¿Cuál es la contraseña de WiFi?
wifi,Wifi
wifi,contraseña wifi?
wifi,¿Cómo me conecto a wifi?
wifi,inicio de sesión wifi
cable,Cable
cable,Televisión por cable
cable,Televisión por cable por favor. Gracias
check out,¿Puedo ir durante el almuerzo para hacer el check out? ¿O me echa un vistazo automáticamente?
check out,¿Puedo hacer el check out tardío?
wifi,"Freda Mattingly Internet está pidiendo una contraseña, ¿podría decirme qué es lo que estamos en la habitación 127? John"
check out,¿Cómo hago el check out?
check-in,Es check in 24 horas
wifi,¿Existe una contraseña de dirección WiFi en la que pueda iniciar sesión?
wifi,¿Cómo me conecto a Internet?
check-in,expres checkin
coffee shop,donde esta starbucks
check out,¿Cómo hago el check out?
wifi,¿Qué servicios tienen WiFi? Contraseña necesaria hora de salida
wifi,¿Existe una contraseña para Wifi?
wifi,que es el wifi
wifi,¿Qué es la contraseña Wifi?
wifi,Cómo acceder al wifi
wifi,Contraseña de wifi pls
spa,Descuento Spa
spa,¿Puedo obtener un descuento adicional para el spa?
spa,Cargos de spa
bellman,Bellman
wifi,¿Qué es el WIFI?
wifi,¿Cuál es la contraseña de WiFi?
wifi,¿Cuál es tu contraseña de WiFi?
wifi,#Detalles de WiFi.
wifi,Detalles wifi
check-in,Check in tardío disponible
wifi,Conexión wifi
spa,¿Estará abierto el gimnasio o el spa?
spa,¿Cuáles son los horarios del spa?
bar,¿Cuáles son los horarios del bar?
check-in,¿Check-in exprés?
check-in,¿Check in exprés?
wifi,¿Cuál es el inicio de sesión y la contraseña de WiFi?
wifi,¿Cuál es la contraseña de WiFi por favor?
wifi,Codigo wifi por favor
wifi,¿Hay una contraseña para el wifi?
wifi,Nombre de la red WiFi?
wifi,No puedo conectarme al wifi
wifi,¿Tengo problemas de WiFi?
check-in,¿Puedo usar una tarjeta de débito al momento del check in o tiene que ser una tarjeta de crédito?
rewards program,Membership discount
discount,Membership discount
spa,cual es el menu del spa
spa,Me gustaria reservar un spa
spa,�Cu�l es el procedimiento para reservar un spa?
spa,�C�mo reservar una cita en el spa?
spa,Me gustar�a hacer una reserva de spa.
spa,Reserva de spa
spa,Men� Spa
spa,tienes un spa
spa,�Puedo obtener una cita en el spa a las 10 am?
breakfast,what do you serve for the breakfast?
hours of operation,venue timing
hours of operation,venue timing
checkin time,checkin time
laundry,"""How much do the laundry machines cost? """
hours of operation,"""Can we extend that a couple hours ? """
wifi,Hi! Could I get the wifi password?
check out,"""""""What day is my check out for """""""
hours of operation,"Hi, Is there coffee somewhere close?"
coffee,"Hi, Is there coffee somewhere close?"
late checkout,Can we get late checkout today?
wifi,Can I please the WiFi
parking,How much does parking cost
wifi,What's the WiFi name & password
wifi,What's the WiFi name & password
plunger,"""Do you guys have a toilet plunger we can use?"""
pool,"""We actually were wondering is the pool going to be available since they are cleaning it?? """
pool,"""We actually were wondering is the pool going to be available since they are cleaning it?? """
check out,"""So checkout is 11-4pm ?"""
pet policy,"""Do you offer free shuttle bus to Animal Kingdom?"""
shuttle service,"""Do you offer free shuttle bus to Animal Kingdom?"""
tv remote,"""My remote control does not work"""
hours of operation,"""Is there any way we can check out like a couple hours later ?"""
check out,"""Is there any way we can check out like a couple hours later ?"""
hours of operation,"""Hi, Is there coffee somewhere close?"""
coffee,"""Hi, Is there coffee somewhere close?"""
check out,"""Can I check out earlier than that?"""
cover charge,"""I need a cover For my bed"""
blankets,"""1205 we need a blanket for a bed and more soap and towels please"""
body wash,"""1205 we need a blanket for a bed and more soap and towels please"""
phone,"""Your TV is not even working!!! Where is your phone??? So, how am I supposed to contact your front desk? There is NO ROOM phone!!!"""
location,"""Your TV is not even working!!! Where is your phone??? So, how am I supposed to contact your front desk? There is NO ROOM phone!!!"""
extend stay,"""""""I need to extend my stay for one more night, checking out  Thursday the 29th. Can you help me with that?"""" """
check out,"""""""I need to extend my stay for one more night, checking out  Thursday the 29th. Can you help me with that?"""" """
hours of operation,venue timing
breakfast,Where to get breakfast
toothpaste,I need toothpaste and toothbrush
toothbrush,I need toothpaste and toothbrush
near by,Are there any great Thai restaurants near the hotel?
not working,Our power is not working
not working,Our power is not working
wifi,Wifi password?
not hot,Room too cold
phone,There is no room phone.
reservations,The reservation is for a month.
business center,"""Hello. Thank you. Do you have a business center where I can print  my resume? Is #234 a smoking room? Are there supposed to be no trash cans at all in the room?"""
smoking,"""Hello. Thank you. Do you have a business center where I can print  my resume? Is #234 a smoking room? Are there supposed to be no trash cans at all in the room?"""
iron board,Is there an iron?
iron board,Is there an iron?
guet list,"Opps, try again? (Dining, Bottle, Table, GuestList, Private Event)"
reserve a table,"Opps, try again? (Dining, Bottle, Table, GuestList, Private Event)"
bottle service,"Opps, try again? (Dining, Bottle, Table, GuestList, Private Event)"
iron board,Is there an iron?
business center,"""Hello. Thank you. Do you have a business center where I can print  my resume? Is #234 a smoking room? Are there supposed to be no trash cans at all in the room?"""
smoking,"""Hello. Thank you. Do you have a business center where I can print  my resume? Is #234 a smoking room? Are there supposed to be no trash cans at all in the room?"""
noisy,There is noise from the alarm of a parked truck every 10 min.
noisy,There is noise from the alarm of a parked truck every 10 min.
wifi,I need the wifi password
wifi,Yes what is the code to get on Wi-Fi
wifi,What is WiFi password?
smoking,My room still reeks of cigarette smoke. I have a problem and need to move rooms.
smoking,"""They've sprayed some sort of Air freshener, very strong. Can't sit in my room without a  headache from smoke and spray. Standing g out front of main entrance. Is there a room available?"""
check out,May i please request a Later checkout?
smoking,My smoke detector is chirping
distance,How far is box kitchen fro here ?
distance,How far is box kitchen fro here ?
location,Where is the thermostat
location,Where is heating and air conditioning unit?
air conditioning,Where is heating and air conditioning unit?
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
distance,How far is box kitchen fro here ?
wifi,what is the wifi #
spa,Do you have spa services?
wifi,How do I connect to WiFi?
extend stay,"""I need to extend my stay for one more night, checking out"
check out,"""I need to extend my stay for one more night, checking out"
extend stay,"Thursday the 29th. Can you help me with that?""I need to extend my stay for one more night, checking out Thursday the 29th. Can you help me with that?"
check out,"Thursday the 29th. Can you help me with that?""I need to extend my stay for one more night, checking out Thursday the 29th. Can you help me with that?"
extend stay,"I need to extend my stay for one more night, checking out Thursday the 29th. Can you help me with that?"
check out,"I need to extend my stay for one more night, checking out Thursday the 29th. Can you help me with that?"
coffee,How long is coffee available downstairs?
wifi,What is the wifi info?
laundry,Is there laundry service?
room service,Room service?
amenities,Amenities
wifi,Which WiFi for hotel guest
gym,Is your gym open?
hours of operation,Is your gym open?
coffee,When is coffee available in lobby?
check out,Is it possible to do an early check out?
location,Where is good breakfast nearby?
near by,Where is good breakfast nearby?
breakfast,Where is good breakfast nearby?
breakfast,Breakfast
breakfast,Where can I get breakfast?
wifi,What's the WiFi
late checkout,Just confirm we have late check out up to 2pm.
checkout time,What is the check out time?
check out,What are the check out options?
hours of operation,Hello what time is check out?
check out,Hello what time is check out?
amenities,Amenities
bar,Honor bar
location,Where is the honor bar?
bar,Where is the honor bar?
location,Where is the honor bar?
bar,Where is the honor bar?
bar,Honor bar
location,Where is the honor bar?
bar,Where is the honor bar?
late checkout,Can I request a late checkout?
hours of operation,What time is check out?
check out,What time is check out?
late checkout,Can I get a late checkout tomorrow ?
wifi,What's the WiFi password
toothpaste,Toothpaste and brush?
toothbrush,Toothpaste and brush?
coffee,"tomorrow and would like to have coffee at 4:30 am."""
coffee,"""Or do you have a coffee machine for the room? I'm running a marathon"
coffee,Or do you have a coffee machine for the room? I'm running a marathon tomorrow and would like to have coffee at 4:30 am.
coffee,Is it possible to get coffee before 5:30?
coffee,Do you have coffee in the morning?
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
checkout time,checkout time
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
breakfast,Do you offer breakfast?
spa,Tell me about spa and fitness
program,Events
wifi,What is the WiFi password
checkout time,Checkout time
pool,"Yes, is there a pool?"
hours of operation,May I ask the recommended grocery store close to this area?
toothpaste,Do you have toothpaste?
bar,What food and bar is nearby?
near by,What food and bar is nearby?
room service,Is there room service for breakfast?
breakfast,Is there room service for breakfast?
room service,Room service
atm,Do you have an ATM
location,Where is the beer and wine happy hour
beer,Where is the beer and wine happy hour
location,Where is the beer and wine happy hour
beer,Where is the beer and wine happy hour
location,Where is the beer and wine happy hour
beer,Where is the beer and wine happy hour
safety deposit box,can i leave windows open and it is safe?
hours of operation,can i leave windows open and it is safe?
location,Where is AC unit
location,Where is the thermostat
location,Where is heating and air conditioning unit?
air conditioning,Where is heating and air conditioning unit?
wifi,Wifi
microwave,My microwave stopped working
pool,Get that pool going and it’s a sealed deal T3A
pool,Get that pool going and it’s a sealed deal T3A
order food,How do I order food
room service,I want to order room service
order food,I want to order food
housekeeping,I need a housekeeping
extra towels,I need a towel
housekeeping,I need a housekeeping
housekeeping,I need a house keeping service
spa,can I get spa appointment at 10 am?
spa,can I get spa appointment at 10 am?
spa,do you have a spa
spa,do you have a spa
spa,do you have a spa
spa,do you have spa
spa,do you have a spa
spa,can I get spa appointment at 10 am?
spa,can I get spa appointments at 10 am?
spa,can I get spa appoin
spa,can I get spa appointments at 10 am?
spa,can I get spa appointments at 10 am?
spa,can I get spa reservation
reservations,can I get spa reservation
spa,can I get spa appointments at 10 am?
spa,do you have a spa
spa,can I get spa appointments at 10 am?
spa,can I get spa appointments at 10 am?
spa,can I get spa appointments at 10 am
spa,do you have a spa
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
coffee,"Can I order Decaf Coffee, tacos bean burrito'"
coffee,"Can I order Decaf Coffee, tacos"
coffee,"Can I order Decaf Coffee, tacos bean burrito'"
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
coffee,"Can I order Decaf Coffee, tacos, bean burrito"
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
coffee,"Can I order Decaf Coffee, tacos and bean burrito"
order food,Dinner menu
spa,do u have a spa
valet parking,"""Excelente with the exception of valet parking. It took me close"
hours of operation,"""Excelente with the exception of valet parking. It took me close"
cover charge,No problem. Looking forward to some wine around 5pm/ish as well... $8 water seems silly but that's ok... thought maybe the $36 few would cover that.. lol
cover charge,No problem. Looking forward to some wine around 5pm/ish as well... $8 water seems silly but that's ok... thought maybe the $36 few would cover that.. lol
beer,Where are the beer and wine happy hour Is it in the lobby?
beer,Where are the beer and wine happy hour Is it in the lobby?
location,"""It went well. Thank you I would recommend this location to others who visit San"
location,"""It went well. Thank you I would recommend this location to others who visit San"
location,It went well. Thank you I would recommend this location to others who visit San Francisco. 5
spa,Tell me about spa and fitness
spa,Tell me about spa and fitness
coffee,Is it possible to get coffee before 5:30?
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
pool,I wish you had a pool or access to the ymca on different hours though
hours of operation,I wish you had a pool or access to the ymca on different hours though
hours of operation,By what time do I need to check out tomorrow?
check out,By what time do I need to check out tomorrow?
breakfast,"Breakfast, I'll be down at 6am Scrambled eggs Bacon Biscuit and sausage gravy Milk to drink Thanks!"
breakfast,"Breakfast, I'll be down at 6am Scrambled eggs Bacon Biscuit and sausage gravy Milk to drink Thanks!"
breakfast,"Breakfast, I'll be down at 6am Scrambled eggs Bacon Biscuit and sausage gravy Milk to drink"
breakfast,"Breakfast, I'll be down at 6am Scrambled eggs Bacon Biscuit and sausage gravy Milk"
breakfast,Breakfast order.1 Breakfast smoothie 1 Egg Frittata and OJ
coffee,"Breakfast order for room 104... Two Egg Frittatas, bacon, and OJ. And coffee. Thank you."
breakfast,"Breakfast order for room 104... Two Egg Frittatas, bacon, and OJ. And coffee. Thank you."
breakfast,Breakfast order.1 Breakfast smoothie 1 Egg Frittata and OJ
wifi,What's WiFi code
wifi,What's the wifi code?
wifi,The WiFi password isn't working
tv remote,Tv remote
wifi,What's the WiFi and password
wifi,What's the WiFi and password
wifi,Do I click on the free WiFi
wifi,Wifi is not working
not working,Wifi is not working
wifi,Can't get WiFi
pool,Pool
pool,Pool hours
hours of operation,Pool hours
wifi,The Wi-Fi does not work. Does every room have a telephone.
phone,I have no phone in this room
phone,I have no phone in this room
check out,Check out
wifi,The wifi is not working
not working,The wifi is not working
checkout time,Check out time?
wifi,Everything's good just trying to figure out how to connect to the internet.
wifi,Can't get WiFi
location,What is the mailing address?
wifi,Wifi info
breakfast,Do u provide breakfast
spa,Spa booking
breakfast,Breakfast order- 1 bean burrito and 1 apple
checkin time,Check in time
hours of operation,cherckout time
order food,i want to order food
breakfast,Breakfast order.1 Breakfast smoothie 1 Egg Frittata and OJ
coffee,"Breakfast order for room 104... Two Egg Frittatas, bacon, and OJ. And coffee. Thank you."
breakfast,"Breakfast order for room 104... Two Egg Frittatas, bacon, and OJ. And coffee. Thank you."
spa,i want spa appointment tommorrow
coffee,"Breakfast order for room 104... Two Egg Frittatas, bacon, and OJ. And coffee. Thank you."
breakfast,"Breakfast order for room 104... Two Egg Frittatas, bacon, and OJ. And coffee. Thank you."
shuttle service,Do you have shuttle service
shopping,Any nearby shopping mall
shopping,Any nearby shopping mall
near by,Any nearby shopping mall
near by,nearby nightclubs
coffee shop,is there starbucks
near by,nearby places to eat
attractions,Things to do
parking,parking
location,where is vending machine
attractions,nearby attractions
near by,nearby attractions
near by,nearby starbucks
coffee shop,nearby starbucks
near by,grocery stores nearby
valet parking,do you have valet parking
attractions,Attractions near the hotel
near by,Attractions near the hotel
free parking,free parking
restaurant,Nearby restaurants
location,where is Gym
gym,where is Gym
location,where is vending machine ?
spa,spa timings
gym,Gym timings
location,where is the vending machine
spa,do u have a spa
bar,near by bars
near by,near by bars
shuttle service,Do you have airport shuttle
gym,Gym?
shuttle service,do u have an airport pickup
location,vending machine location
location,where is vending machine located ?
location,where is ice machine
ice machine,where is ice machine
ice machine,do you have ice machine?
location,where is the ice machine
ice machine,where is the ice machine
location,where is ice machine
ice machine,where is ice machine
location,where is ice machine ?
ice machine,where is ice machine ?
ice machine,where can I find ice machine
ice machine,ice machine
ice machine,ice machine?
ice machine,ice machine if any?
location,ice machine location
ice machine,ice machine location
location,where is ice machine located ?
ice machine,where is ice machine located ?
gift shop,Do you have gift shop
order food,Can i order food for delivery
housekeeping,I want housekeeping service
order food,I would like to order food
luggage storage,Do you have complimentary Luggage Storage
luggage storage,where can I store luggage
nanny service,Do you have nanny service?
laundry,Do you have laundry service in the hotel
laundry,laundry
